Hours,2,4,6,8,10,12,14,16,18
1,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.77
2,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89
3,0.18,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94
4,0.08,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.96
5,0.04,0.22,0.97,0.97,0.97,0.97,0.97,0.97,0.97
6,0.02,0.1,0.97,0.97,0.97,0.98,0.98,0.98,0.98
7,0.01,0.05,0.23,0.98,0.98,0.98,0.98,0.98,0.98
8,0.01,0.03,0.11,0.98,0.98,0.98,0.99,0.99,0.99
9,0.01,0.02,0.06,0.24,0.99,0.99,0.99,0.99,0.99
10,0.01,0.02,0.04,0.11,0.99,0.99,0.99,0.99,0.99
11,0,0.01,0.03,0.06,0.24,0.99,0.99,0.99,0.99
12,0,0.01,0.02,0.04,0.12,0.99,0.99,0.99,1
13,0,0.01,0.02,0.03,0.07,0.25,1,1,1
14,0,0.01,0.01,0.02,0.04,0.12,1,1,1
15,0,0,0.01,0.02,0.03,0.07,0.25,1,1
16,0,0,0.01,0.01,0.02,0.04,0.12,1,1
17,0,0,0.01,0.01,0.02,0.03,0.07,0.25,1
18,0,0,0,0.01,0.01,0.02,0.05,0.12,1
19,0,0,0,0.01,0.01,0.02,0.03,0.07,0.25
20,0,0,0,0.01,0.01,0.02,0.03,0.05,0.12
21,0,0,0,0,0.01,0.01,0.02,0.03,0.07
22,0,0,0,0,0.01,0.01,0.02,0.03,0.05
23,0,0,0,0,0,0.01,0.01,0.02,0.03
24,0,0,0,0,0,0.01,0.01,0.02,0.03
